Round,AUV,box_loss,cls_loss,dfl_loss,Prec,Rec,mAP50,mAP50-95
1,1,1.772,1.52,1.414,,,,
1,2,1.851,1.672,1.5,,,,
1,3,1.841,1.708,1.412,,,,
1,12,1.761,1.498,1.377,,,,
1,13,1.79,1.873,1.463,,,,
1,15,1.898,1.913,1.419,,,,
1,20,1.899,1.768,1.568,,,,
1,21,1.872,1.769,1.453,,,,
1,24,1.837,1.779,1.411,,,,
1,27,1.811,1.51,1.408,,,,
1,28,2.083,2.345,1.778,,,,
2,1,1.718,1.435,1.358,,,,
2,2,1.649,1.384,1.355,,,,
2,3,1.652,1.39,1.328,,,,
2,12,1.668,1.346,1.317,,,,
2,13,1.575,1.398,1.335,,,,
2,15,1.713,1.632,1.308,,,,
2,20,1.667,1.479,1.406,,,,
2,21,1.671,1.521,1.337,,,,
2,24,1.692,1.591,1.317,,,,
2,27,1.737,1.402,1.346,,,,
2,28,1.918,2.068,1.666,,,,
3,1,1.7,1.397,1.341,,,,
3,2,1.616,1.349,1.373,,,,
3,3,1.611,1.265,1.278,,,,
3,12,1.669,1.329,1.316,,,,
3,13,1.486,1.294,1.261,,,,
3,15,1.682,1.455,1.297,,,,
3,20,1.559,1.277,1.336,,,,
3,21,1.608,1.401,1.282,,,,
3,24,1.569,1.472,1.255,,,,
3,27,1.627,1.257,1.287,,,,
3,28,1.774,1.786,1.541,,,,
4,1,1.671,1.354,1.321,,,,
4,2,1.604,1.235,1.348,,,,
4,3,1.558,1.21,1.246,,,,
4,12,1.655,1.318,1.295,,,,
4,13,1.451,1.153,1.22,,,,
4,15,1.645,1.405,1.27,,,,
4,20,1.577,1.208,1.318,,,,
4,21,1.628,1.321,1.296,,,,
4,24,1.575,1.395,1.269,,,,
4,27,1.635,1.278,1.281,,,,
4,28,1.657,1.605,1.466,,,,
5,1,1.682,1.348,1.321,,,,
5,2,1.602,1.198,1.31,,,,
5,3,1.598,1.26,1.263,,,,
5,12,1.648,1.284,1.29,,,,
5,13,1.392,1.127,1.22,,,,
5,15,1.63,1.354,1.232,,,,
5,20,1.509,1.199,1.298,,,,
5,21,1.606,1.272,1.291,,,,
5,24,1.56,1.311,1.25,,,,
5,27,1.684,1.376,1.31,,,,
5,28,1.627,1.518,1.442,,,,
6,1,1.606,1.25,1.274,,,,
6,2,1.565,1.18,1.332,,,,
6,3,1.549,1.176,1.25,,,,
6,12,1.627,1.275,1.27,,,,
6,13,1.366,1.15,1.187,,,,
6,15,1.583,1.288,1.218,,,,
6,20,1.484,1.185,1.299,,,,
6,21,1.57,1.278,1.261,,,,
6,24,1.55,1.291,1.231,,,,
6,27,1.606,1.22,1.266,,,,
6,28,1.642,1.735,1.414,,,,
7,1,1.644,1.285,1.295,,,,
7,2,1.523,1.116,1.287,,,,
7,3,1.519,1.178,1.203,,,,
7,12,1.616,1.24,1.272,,,,
7,13,1.357,1.12,1.182,,,,
7,15,1.555,1.23,1.22,,,,
7,20,1.483,1.171,1.296,,,,
7,21,1.52,1.254,1.252,,,,
7,24,1.473,1.271,1.208,,,,
7,27,1.59,1.193,1.248,,,,
7,28,1.566,1.408,1.385,,,,
8,1,1.622,1.252,1.281,,,,
8,2,1.522,1.111,1.26,,,,
8,3,1.523,1.147,1.216,,,,
8,12,1.61,1.226,1.27,,,,
8,13,1.358,1.095,1.179,,,,
8,15,1.579,1.268,1.211,,,,
8,20,1.513,1.157,1.286,,,,
8,21,1.558,1.259,1.254,,,,
8,24,1.506,1.208,1.211,,,,
8,27,1.611,1.208,1.266,,,,
8,28,1.606,1.439,1.409,,,,
9,1,1.567,1.183,1.245,,,,
9,2,1.548,1.166,1.306,,,,
9,3,1.476,1.152,1.221,,,,
9,12,1.591,1.216,1.257,,,,
9,13,1.332,1.01,1.147,,,,
9,15,1.562,1.254,1.198,,,,
9,20,1.526,1.107,1.298,,,,
9,21,1.499,1.216,1.22,,,,
9,24,1.543,1.238,1.218,,,,
9,27,1.59,1.177,1.25,,,,
9,28,1.646,1.435,1.418,,,,
10,1,1.59,1.203,1.265,,,,
10,2,1.535,1.05,1.277,,,,
10,3,1.462,1.114,1.208,,,,
10,12,1.529,1.125,1.219,,,,
10,13,1.288,1.015,1.163,,,,
10,15,1.513,1.168,1.181,,,,
10,20,1.496,1.093,1.275,,,,
10,21,1.478,1.14,1.2,,,,
10,24,1.503,1.238,1.191,,,,
10,27,1.577,1.166,1.244,,,,
10,28,1.566,1.409,1.37,,,,
11,1,1.523,1.116,1.221,,,,
11,2,1.382,1.219,1.186,,,,
11,3,1.504,1.11,1.212,,,,
11,12,1.531,1.091,1.218,,,,
11,13,1.316,1.005,1.174,,,,
11,15,1.584,1.178,1.236,,,,
11,20,1.501,1.099,1.273,,,,
11,21,1.481,1.273,1.229,,,,
11,24,1.469,1.167,1.193,,,,
11,27,1.511,1.095,1.209,,,,
11,28,1.557,1.368,1.39,,,,
12,1,1.576,1.18,1.251,,,,
12,2,1.523,1.072,1.278,,,,
12,3,1.473,1.086,1.191,,,,
12,12,1.58,1.167,1.253,,,,
12,13,1.299,0.9619,1.17,,,,
12,15,1.506,1.127,1.186,,,,
12,20,1.505,1.071,1.272,,,,
12,21,1.517,1.154,1.22,,,,
12,24,1.488,1.132,1.198,,,,
12,27,1.545,1.152,1.232,,,,
12,28,1.555,1.296,1.381,,,,
13,1,1.496,1.09,1.199,,,,
13,2,1.396,1.329,1.184,,,,
13,3,1.477,1.102,1.197,,,,
13,12,1.49,1.06,1.193,,,,
13,13,1.331,1.085,1.167,,,,
13,15,1.537,1.212,1.182,,,,
13,20,1.43,1.053,1.241,,,,
13,21,1.522,1.166,1.211,,,,
13,24,1.491,1.171,1.196,,,,
13,27,1.49,1.05,1.199,,,,
13,28,1.527,1.34,1.359,,,,
14,1,1.493,1.08,1.207,,,,
14,2,1.46,1.028,1.262,,,,
14,3,1.425,1.044,1.171,,,,
14,12,1.488,1.045,1.198,,,,
14,13,1.263,0.9521,1.13,,,,
14,15,1.469,1.118,1.175,,,,
14,20,1.45,1.058,1.242,,,,
14,21,1.427,1.083,1.211,,,,
14,24,1.459,1.181,1.17,,,,
14,27,1.544,1.105,1.221,,,,
14,28,1.487,1.218,1.344,,,,
15,1,1.488,1.07,1.205,,,,
15,2,1.445,1.077,1.256,,,,
15,3,1.421,1.033,1.169,,,,
15,12,1.556,1.128,1.236,,,,
15,13,1.299,0.9182,1.147,,,,
15,15,1.496,1.144,1.162,,,,
15,20,1.416,1.025,1.234,,,,
15,21,1.422,1.082,1.187,,,,
15,24,1.453,1.139,1.183,,,,
15,27,1.525,1.097,1.214,,,,
15,28,1.518,1.348,1.368,,,,
16,1,1.542,1.141,1.23,,,,
16,2,1.473,1.034,1.241,,,,
16,3,1.413,1.034,1.186,,,,
16,12,1.523,1.088,1.213,,,,
16,13,1.287,0.9762,1.132,,,,
16,15,1.474,1.124,1.159,,,,
16,20,1.427,1.001,1.219,,,,
16,21,1.461,1.096,1.186,,,,
16,24,1.467,1.118,1.182,,,,
16,27,1.511,1.07,1.209,,,,
16,28,1.508,1.267,1.334,,,,
17,1,1.469,1.027,1.193,,,,
17,2,1.446,0.989,1.251,,,,
17,3,1.428,1.017,1.172,,,,
17,12,1.448,0.9702,1.18,,,,
17,13,1.319,0.981,1.175,,,,
17,15,1.515,1.083,1.172,,,,
17,20,1.424,1.007,1.249,,,,
17,21,1.414,1.064,1.187,,,,
17,24,1.462,1.139,1.175,,,,
17,27,1.436,0.9988,1.168,,,,
17,28,1.538,1.268,1.338,,,,
18,1,1.537,1.084,1.233,,,,
18,2,1.484,1.047,1.266,,,,
18,3,1.43,1.033,1.153,,,,
18,12,1.503,1.069,1.209,,,,
18,13,1.319,0.9861,1.165,,,,
18,15,1.502,1.083,1.163,,,,
18,20,1.42,0.9767,1.228,,,,
18,21,1.42,1.006,1.185,,,,
18,24,1.408,1.105,1.156,,,,
18,27,1.492,1.047,1.197,,,,
18,28,1.511,1.176,1.348,,,,
19,1,1.486,1.019,1.191,,,,
19,2,1.409,0.9819,1.226,,,,
19,3,1.421,1.018,1.168,,,,
19,12,1.482,1.035,1.195,,,,
19,13,1.287,0.9278,1.159,,,,
19,15,1.489,1.094,1.178,,,,
19,20,1.454,0.9644,1.253,,,,
19,21,1.428,1.036,1.183,,,,
19,24,1.426,1.094,1.178,,,,
19,27,1.486,1.02,1.19,,,,
19,28,1.461,1.208,1.31,,,,
20,1,1.508,1.056,1.212,,,,
20,2,1.427,0.9653,1.223,,,,
20,3,1.412,1.002,1.168,,,,
20,12,1.412,0.9382,1.155,,,,
20,13,1.355,0.9173,1.173,,,,
20,15,1.509,1.085,1.19,,,,
20,20,1.433,0.9592,1.241,,,,
20,21,1.415,1.056,1.176,,,,
20,24,1.432,1.069,1.174,,,,
20,27,1.424,0.9455,1.161,,,,
20,28,1.458,1.13,1.302,,,,
21,1,1.438,0.945,1.164,,,,
21,2,1.432,0.9899,1.244,,,,
21,3,1.383,0.9849,1.147,,,,
21,12,1.42,0.9316,1.161,,,,
21,13,1.249,0.9109,1.145,,,,
21,15,1.496,1.086,1.155,,,,
21,20,1.432,0.972,1.259,,,,
21,21,1.425,1.004,1.154,,,,
21,24,1.402,1.04,1.167,,,,
21,27,1.479,0.9918,1.184,,,,
21,28,1.489,1.126,1.323,,,,
22,1,1.412,0.9361,1.153,,,,
22,2,1.423,0.9383,1.208,,,,
22,3,1.401,0.9546,1.14,,,,
22,12,1.405,0.9125,1.149,,,,
22,13,1.296,0.8825,1.144,,,,
22,15,1.459,1.05,1.157,,,,
22,20,1.386,0.9417,1.223,,,,
22,21,1.43,1.049,1.192,,,,
22,24,1.409,1.063,1.134,,,,
22,27,1.417,0.9293,1.154,,,,
