Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_svd,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_a2r_rx,e_r2r_rx,e_r2g_rx,e_rx,e_comp,e_svd,e_cumul,lambda_e,lambda_tau,objective_loss,physical_joint_cost_round,physical_joint_cost_cumul,joint_cost_round,joint_cost_cumul,server_mix_beta,auv_train_metrics,mAP50-95,mAP50,Prec,Rec,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec
0,,11.0,inf,6381.2113,OK,5994.0613,0.0,0.0,387.15,0.0,6381.2113,10123.8047,10123.8047,7340.8736,6772.7092,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,7340.8736,0.005,0.01,5.0885,100.5165,100.5165,105.605,105.605,1.0,{},0.0,0.0,0.0,0.0,,,,
1,5.2581,11.0,inf,6381.2118,OK,5994.0618,0.0,0.0,387.15,0.0,12762.4231,10123.8047,20247.6094,7340.8818,6772.7174,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,14681.7554,0.005,0.01,4.5852,100.5165,201.033,105.0964,210.7014,1.0,{},0.1765,0.3568,0.7644,0.2847,0.1774,0.3577,0.7652,0.285
2,4.8807,11.0,inf,6381.2119,OK,5994.0619,0.0,0.0,387.15,0.0,19143.635,10123.8047,30371.4141,7340.88,6772.7157,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,22022.6354,0.005,0.01,4.3352,100.5165,301.5495,104.8574,315.5588,1.0,{},0.224,0.435,0.549,0.4059,0.2232,0.4354,0.5489,0.4056
3,4.7418,11.0,inf,6381.2116,OK,5994.0616,0.0,0.0,387.15,0.0,25524.8466,10123.8047,40495.2188,7340.8172,6772.6528,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,29363.4526,0.005,0.01,4.2176,100.5162,402.0657,104.7406,420.2994,1.0,{},0.252,0.4855,0.58,0.4552,0.2512,0.4862,0.5795,0.4546
4,4.6838,11.0,inf,6381.2115,OK,5994.0615,0.0,0.0,387.15,0.0,31906.0582,10123.8047,50619.0234,7340.7743,6772.6099,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,36704.2268,0.005,0.01,4.1805,100.516,502.5817,104.6988,524.9982,1.0,{},0.2578,0.5022,0.577,0.4812,0.2585,0.5023,0.5764,0.4804
5,4.7026,11.0,inf,6381.2116,OK,5994.0616,0.0,0.0,387.15,0.0,38287.2698,10123.8047,60742.8281,7340.7087,6772.5444,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,44044.9356,0.005,0.01,4.1134,100.5157,603.0974,104.6227,629.6209,1.0,{},0.2671,0.5099,0.6343,0.4501,0.2672,0.5106,0.6336,0.4493
6,4.6148,11.0,inf,6381.2117,OK,5994.0617,0.0,0.0,387.15,0.0,44668.4815,10123.8047,70866.6328,7340.665,6772.5006,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,51385.6006,0.005,0.01,4.0101,100.5154,703.6128,104.5299,734.1508,1.0,{},0.2724,0.5177,0.6179,0.4799,0.2729,0.5178,0.6182,0.4809
7,4.5164,11.0,inf,6381.2118,OK,5994.0618,0.0,0.0,387.15,0.0,51049.6932,10123.8047,80990.4375,7340.6219,6772.4576,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,58726.2225,0.005,0.01,4.0295,100.5152,804.128,104.5353,838.6862,1.0,{},0.2828,0.5326,0.6509,0.4792,0.282,0.533,0.6519,0.4795
8,4.5277,11.0,inf,6381.2118,OK,5994.0618,0.0,0.0,387.15,0.0,57430.905,10123.8047,91114.2422,7340.5982,6772.4338,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,66066.8207,0.005,0.01,3.9812,100.5151,904.6432,104.498,943.1841,1.0,{},0.2837,0.5376,0.6518,0.4794,0.284,0.538,0.6508,0.4785
9,4.4805,11.0,inf,6381.2118,OK,5994.0618,0.0,0.0,387.15,0.0,63812.1169,10123.8047,101238.0469,7340.5663,6772.4019,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,73407.387,0.005,0.01,3.9037,100.5149,1005.1581,104.4106,1047.5948,1.0,{},0.2889,0.5462,0.6287,0.5025,0.2894,0.5457,0.6283,0.5021
10,4.3821,11.0,inf,6381.2117,OK,5994.0617,0.0,0.0,387.15,0.0,70193.3286,10123.8047,111361.8516,7340.5042,6772.3399,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,80747.8913,0.005,0.01,3.87,100.5146,1105.6727,104.3894,1151.9842,1.0,{},0.2912,0.5537,0.659,0.4982,0.292,0.5535,0.6592,0.4973
11,4.356,11.0,inf,6381.2117,OK,5994.0617,0.0,0.0,387.15,0.0,76574.5403,10123.8047,121485.6562,7340.4875,6772.3231,0.0,0.0,0.0,0.0,0.0,0.0,568.1644,0.0,88088.3787,0.005,0.01,3.8756,100.5146,1206.1873,104.3873,1256.3715,1.0,{},0.3034,0.5746,0.684,0.5158,0.3044,0.5749,0.6843,0.5158
