Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_hidden,kd_attn,kd_weighted,mAP50-95,mAP50,Prec,Rec
1,6.9913,20.0000,1482.3663,950.6652,OK,42.7942,165.5504,165.6609,576.8100,950.6652,71.1318,71.1318,140.6445,43.3163,17.0700,33.9569,46.3014,140.6445,0.0010,0.0010,8.0826,8.0826,0.0719,0.1662,0.1020,0.2769,True,2.0000,4.1251,0.2599,0.0000,0.0000,18.6824,0.0855,0.1963,0.5140,0.1857
2,5.4748,20.0000,1464.7325,950.6645,OK,42.7935,165.5504,165.6609,576.8100,1901.3297,71.1318,142.2637,140.6700,43.3418,17.0700,33.9569,46.3014,281.3145,0.0010,0.0010,6.5662,14.6487,0.0736,0.1726,0.1203,0.3061,True,2.0000,4.0666,0.2447,0.0000,0.0000,18.7380,0.0819,0.1919,0.5063,0.1786
3,4.9636,20.0000,1447.0988,950.6643,OK,42.7932,165.5504,165.6609,576.8100,2851.9940,71.1318,213.3955,140.6702,43.3419,17.0700,33.9569,46.3014,421.9847,0.0010,0.0010,6.0549,20.7036,0.0711,0.1652,0.1183,0.2979,True,2.0000,3.9330,0.2338,0.0000,0.0000,18.4648,0.0774,0.1812,0.4932,0.1746
4,4.6986,20.0000,1429.4649,950.6639,OK,42.7929,165.5504,165.6609,576.8100,3802.6579,71.1318,284.5273,140.6703,43.3421,17.0700,33.9569,46.3014,562.6550,0.0010,0.0010,5.7899,26.4935,0.0678,0.1578,0.1262,0.2944,True,2.0000,3.8162,0.2276,0.0000,0.0000,18.1661,0.0748,0.1745,0.5067,0.1621
5,4.5430,20.0000,1411.8309,950.6633,OK,42.7923,165.5504,165.6609,576.8100,4753.3212,71.1318,355.6592,140.6704,43.3422,17.0700,33.9569,46.3014,703.3255,0.0010,0.0010,5.6343,32.1278,0.0647,0.1513,0.1319,0.2839,True,2.0000,3.7659,0.2243,0.0000,0.0000,17.9458,0.0699,0.1651,0.5121,0.1547
6,4.4451,20.0000,1394.1969,950.6620,OK,42.7909,165.5504,165.6609,576.8100,5703.9832,71.1318,426.7910,140.6706,43.3423,17.0700,33.9569,46.3014,843.9960,0.0010,0.0010,5.5364,37.6643,0.0596,0.1399,0.1223,0.2771,True,2.0000,3.7269,0.2253,0.0000,0.0000,17.8752,0.0705,0.1661,0.5308,0.1427
7,4.3864,20.0000,1376.5628,950.6606,OK,42.7896,165.5504,165.6609,576.8100,6654.6439,71.1318,497.9229,140.6711,43.3429,17.0700,33.9569,46.3014,984.6672,0.0010,0.0010,5.4777,43.1420,0.0588,0.1389,0.1163,0.2762,True,2.0000,3.6934,0.2259,0.0000,0.0000,17.7785,0.0723,0.1692,0.5830,0.1296
8,4.3342,20.0000,1358.9284,950.6599,OK,42.7888,165.5504,165.6609,576.8100,7605.3037,71.1318,569.0547,140.6715,43.3433,17.0700,33.9569,46.3014,1125.3387,0.0010,0.0010,5.4255,48.5675,0.0609,0.1434,0.1056,0.2824,True,2.0000,3.7100,0.2278,0.0000,0.0000,17.7582,0.0746,0.1750,0.6126,0.1225
9,4.2988,20.0000,1341.2938,950.6589,OK,42.7879,165.5504,165.6609,576.8100,8555.9626,71.1318,640.1865,140.6719,43.3437,17.0700,33.9569,46.3014,1266.0106,0.0010,0.0010,5.3901,53.9576,0.0608,0.1429,0.4957,0.1728,True,2.0000,3.6786,0.2272,0.0000,0.0000,17.6103,0.0749,0.1754,0.6053,0.1216
10,4.2543,20.0000,1323.6592,950.6590,OK,42.7876,165.5504,165.6609,576.8100,9506.6217,71.1318,711.3184,140.6724,43.3441,17.0700,33.9569,46.3014,1406.6830,0.0010,0.0010,5.3456,59.3032,0.0607,0.1422,0.1087,0.2735,True,2.0000,3.6524,0.2277,0.0000,0.0000,17.5020,0.0751,0.1762,0.6210,0.1218
