Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_weighted,mAP50-95,mAP50,Prec,Rec
1,4.7971,30.0000,245801.1709,626.3186,OK,194.5869,194.4997,194.5981,42.6844,626.3186,327.5547,327.5547,82138.7279,58183.1989,5818.5875,7757.9753,10378.9097,82138.6713,0.0010,0.0010,87.5621,87.5621,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.1610,0.3353,0.5160,0.3211
2,4.5107,30.0000,241602.3420,626.3189,OK,194.5868,194.4997,194.5981,42.6844,1252.6375,327.5547,655.1094,82138.7314,58183.2024,5818.5875,7757.9753,10378.9097,164277.3461,0.0010,0.0010,87.2757,174.8378,,,,,True,2.0000,5.5688,0.2996,0.1479,5.2361,0.2665,0.5215,0.6477,0.4797
3,4.3826,30.0000,237403.5133,626.3190,OK,194.5869,194.4997,194.5981,42.6844,1878.9565,327.5547,982.6641,82138.7345,58183.2055,5818.5875,7757.9753,10378.9097,246416.0240,0.0010,0.0010,87.1477,261.9855,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2544,0.5036,0.6386,0.4666
4,4.2937,30.0000,233204.6851,626.3192,OK,194.5870,194.4997,194.5981,42.6844,2505.2757,327.5547,1310.2188,82138.7365,58183.2074,5818.5875,7757.9753,10378.9097,328554.7039,0.0010,0.0010,87.0587,349.0442,,,,,True,2.0000,2.1239,0.2871,0.1436,4.1039,0.2831,0.5470,0.6800,0.4851
5,4.2439,30.0000,229005.8570,626.3201,OK,194.5876,194.4997,194.5981,42.6844,3131.5959,327.5547,1637.7734,82138.7373,58183.2082,5818.5875,7757.9753,10378.9097,410693.3845,0.0010,0.0010,87.0090,436.0532,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2710,0.5310,0.6775,0.4702
6,4.1906,30.0000,224807.0291,626.3206,OK,194.5879,194.4997,194.5981,42.6844,3757.9164,327.5547,1965.3281,82138.7424,58183.2133,5818.5875,7757.9753,10378.9097,492832.0703,0.0010,0.0010,86.9557,523.0089,,,,,True,2.0000,1.6339,0.2847,0.1395,3.9197,0.2904,0.5569,0.6723,0.5028
7,4.1663,30.0000,220608.2012,626.3209,OK,194.5880,194.4997,194.5981,42.6844,4384.2373,327.5547,2292.8828,82138.7422,58183.2131,5818.5875,7757.9753,10378.9097,574970.7558,0.0010,0.0010,86.9313,609.9402,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2698,0.5308,0.6807,0.4924
8,4.1327,30.0000,216409.3733,626.3203,OK,194.5879,194.4997,194.5981,42.6844,5010.5576,327.5547,2620.4375,82138.7399,58183.2108,5818.5875,7757.9753,10378.9097,657109.4391,0.0010,0.0010,86.8977,696.8380,,,,,True,2.0000,1.3906,0.2838,0.1417,3.8307,0.2933,0.5645,0.6757,0.5075
9,4.1180,30.0000,212210.5455,626.3198,OK,194.5872,194.4997,194.5981,42.6844,5636.8774,327.5547,2947.9922,82138.7398,58183.2108,5818.5875,7757.9753,10378.9097,739248.1223,0.0010,0.0010,86.8830,783.7210,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2754,0.5416,0.6684,0.5006
10,4.1004,30.0000,208011.7184,626.3199,OK,194.5869,194.4997,194.5981,42.6844,6263.1973,327.5547,3275.5469,82138.7386,58183.2095,5818.5875,7757.9753,10378.9097,821386.8043,0.0010,0.0010,86.8655,870.5865,,,,,True,2.0000,1.2496,0.2836,0.1436,3.7757,0.2940,0.5688,0.6848,0.5060
