Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_comp,e_cumul,lambda_e,lambda_tau,joint_cost_round,joint_cost_cumul,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec,kd_active,kd_epochs,kd_box,kd_kl,kd_lora,kd_weighted,mAP50-95,mAP50,Prec,Rec
1,5.1943,30.0000,inf,1232.1104,OK,299.5311,299.4548,299.5569,333.5906,1232.1104,504.8711,504.8711,2331.3511,1358.6103,226.9368,226.8556,518.9455,2331.3511,0.0100,0.0100,35.6346,35.6346,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2125,0.4271,0.5571,0.4052
2,5.2153,30.0000,inf,1232.1110,OK,299.5309,299.4548,299.5569,333.5906,2464.2215,504.8711,1009.7422,2331.3543,1358.6136,226.9368,226.8556,518.9455,4662.7054,0.0100,0.0100,35.6347,71.2693,,,,,True,1.0000,0.5223,7.2602,0.2335,7.6921,0.2013,0.4139,0.5441,0.4023
3,5.1060,30.0000,inf,1232.1120,OK,299.5300,299.4548,299.5569,333.5906,3696.3335,504.8711,1514.6133,2331.3575,1358.6168,226.9368,226.8556,518.9455,6994.0629,0.0100,0.0100,35.6347,106.9040,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2085,0.4238,0.5384,0.4179
4,5.0658,30.0000,inf,1232.1121,OK,299.5287,299.4548,299.5569,333.5906,4928.4456,504.8711,2019.4844,2331.3630,1358.6222,226.9368,226.8556,518.9455,9325.4259,0.0100,0.0100,35.6348,142.5387,,,,,True,1.0000,0.4627,7.2272,0.2067,7.3815,0.2140,0.4326,0.5660,0.4119
5,5.0543,30.0000,inf,1232.1126,OK,299.5281,299.4548,299.5569,333.5906,6160.5582,504.8711,2524.3555,2331.3743,1358.6335,226.9368,226.8556,518.9455,11656.8002,0.0100,0.0100,35.6349,178.1736,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2167,0.4373,0.5672,0.4201
6,4.9759,30.0000,inf,1232.1130,OK,299.5282,299.4548,299.5569,333.5906,7392.6712,504.8711,3029.2266,2331.3907,1358.6500,226.9368,226.8556,518.9455,13988.1909,0.0100,0.0100,35.6350,213.8086,,,,,True,1.0000,0.4327,7.1946,0.1967,7.1711,0.2204,0.4459,0.5768,0.4287
7,4.9741,30.0000,inf,1232.1141,OK,299.5303,299.4548,299.5569,333.5906,8624.7853,504.8711,3534.0977,2331.4047,1358.6640,226.9368,226.8556,518.9455,16319.5956,0.0100,0.0100,35.6352,249.4438,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2234,0.4500,0.5820,0.4303
8,4.9563,30.0000,inf,1232.1143,OK,299.5315,299.4548,299.5569,333.5906,9856.8996,504.8711,4038.9688,2331.4107,1358.6700,226.9368,226.8556,518.9455,18651.0063,0.0100,0.0100,35.6352,285.0791,,,,,True,1.0000,0.4113,7.1640,0.1855,6.9706,0.2225,0.4516,0.5802,0.4344
9,4.9320,30.0000,inf,1232.1141,OK,299.5327,299.4548,299.5569,333.5906,11089.0137,504.8711,4543.8398,2331.4130,1358.6722,226.9368,226.8556,518.9455,20982.4192,0.0100,0.0100,35.6353,320.7143,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.4532,0.5757,0.4361
10,4.9671,30.0000,inf,1232.1134,OK,299.5335,299.4548,299.5569,333.5906,12321.1270,504.8711,5048.7109,2331.4163,1358.6755,226.9368,226.8556,518.9455,23313.8355,0.0100,0.0100,35.6353,356.3496,,,,,True,1.0000,0.3979,7.1461,0.1797,6.8147,0.2239,0.4530,0.5715,0.4389
11,4.9446,30.0000,inf,1232.1124,OK,299.5348,299.4548,299.5569,333.5906,13553.2394,504.8711,5553.5820,2331.4199,1358.6792,226.9368,226.8556,518.9455,25645.2554,0.0100,0.0100,35.6353,391.9849,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2258,0.4539,0.5734,0.4364
12,4.9198,30.0000,inf,1232.1119,OK,299.5353,299.4548,299.5569,333.5906,14785.3513,504.8711,6058.4531,2331.4167,1358.6760,226.9368,226.8556,518.9455,27976.6721,0.0100,0.0100,35.6353,427.6202,,,,,True,1.0000,0.3881,7.1328,0.1881,6.6656,0.2251,0.4544,0.5723,0.4397
13,4.9109,30.0000,inf,1232.1118,OK,299.5360,299.4548,299.5569,333.5906,16017.4630,504.8711,6563.3242,2331.4166,1358.6759,226.9368,226.8556,518.9455,30308.0887,0.0100,0.0100,35.6353,463.2555,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2274,0.4575,0.5830,0.4365
14,4.9166,30.0000,inf,1232.1118,OK,299.5368,299.4548,299.5569,333.5906,17249.5748,504.8711,7068.1953,2331.3978,1358.6571,226.9368,226.8556,518.9455,32639.4865,0.0100,0.0100,35.6351,498.8906,,,,,True,1.0000,0.3795,7.1212,0.1743,6.5272,0.2260,0.4568,0.5828,0.4376
15,4.9026,30.0000,inf,1232.1113,OK,299.5370,299.4548,299.5569,333.5906,18481.6861,504.8711,7573.0664,2331.3953,1358.6545,226.9368,226.8556,518.9455,34970.8818,0.0100,0.0100,35.6351,534.5257,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2280,0.4585,0.5712,0.4405
16,4.9283,30.0000,inf,1232.1113,OK,299.5375,299.4548,299.5569,333.5906,19713.7975,504.8711,8077.9375,2331.3964,1358.6556,226.9368,226.8556,518.9455,37302.2781,0.0100,0.0100,35.6351,570.1608,,,,,True,1.0000,0.3728,7.1121,0.1690,6.3919,0.2260,0.4572,0.5788,0.4380
17,4.8947,30.0000,inf,1232.1109,OK,299.5384,299.4548,299.5569,333.5906,20945.9084,504.8711,8582.8086,2331.4006,1358.6599,226.9368,226.8556,518.9455,39633.6787,0.0100,0.0100,35.6351,605.7959,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2284,0.4605,0.5760,0.4386
18,4.9090,30.0000,inf,1232.1104,OK,299.5396,299.4548,299.5569,333.5906,22178.0188,504.8711,9087.6797,2331.4097,1358.6690,226.9368,226.8556,518.9455,41965.0884,0.0100,0.0100,35.6352,641.4311,,,,,True,1.0000,0.3668,7.1049,0.1656,6.2609,0.2259,0.4577,0.5717,0.4419
19,4.8856,30.0000,inf,1232.1104,OK,299.5407,299.4548,299.5569,333.5906,23410.1292,504.8711,9592.5508,2331.4168,1358.6761,226.9368,226.8556,518.9455,44296.5052,0.0100,0.0100,35.6353,677.0663,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2291,0.4603,0.5779,0.4380
20,4.8817,30.0000,inf,1232.1102,OK,299.5396,299.4548,299.5569,333.5906,24642.2394,504.8711,10097.4219,2331.4151,1358.6743,226.9368,226.8556,518.9455,46627.9203,0.0100,0.0100,35.6353,712.7016,,,,,True,1.0000,0.3621,7.1003,0.1652,6.1346,0.2263,0.4597,0.5774,0.4417
21,4.8822,30.0000,inf,1232.1098,OK,299.5390,299.4548,299.5569,333.5906,25874.3492,504.8711,10602.2930,2331.4087,1358.6680,226.9368,226.8556,518.9455,48959.3290,0.0100,0.0100,35.6352,748.3368,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2284,0.4611,0.5852,0.4383
22,4.9071,30.0000,inf,1232.1095,OK,299.5386,299.4548,299.5569,333.5906,27106.4588,504.8711,11107.1641,2331.3998,1358.6591,226.9368,226.8556,518.9455,51290.7288,0.0100,0.0100,35.6351,783.9719,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2287,0.4621,0.5899,0.4369
23,4.8842,30.0000,inf,1232.1089,OK,299.5381,299.4548,299.5569,333.5906,28338.5676,504.8711,11612.0352,2331.3928,1358.6521,226.9368,226.8556,518.9455,53622.1217,0.0100,0.0100,35.6350,819.6069,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2293,0.4625,0.5875,0.4378
24,4.8954,30.0000,inf,1232.1082,OK,299.5377,299.4548,299.5569,333.5906,29570.6758,504.8711,12116.9062,2331.3781,1358.6373,226.9368,226.8556,518.9455,55953.4997,0.0100,0.0100,35.6349,855.2418,,,,,True,1.0000,0.3556,7.0968,0.1617,5.9080,0.2254,0.4565,0.5722,0.4405
25,4.8823,30.0000,inf,1232.1077,OK,299.5375,299.4548,299.5569,333.5906,30802.7835,504.8711,12621.7773,2331.3643,1358.6236,226.9368,226.8556,518.9455,58284.8640,0.0100,0.0100,35.6347,890.8765,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2275,0.4607,0.5868,0.4357
26,4.9682,30.0000,inf,1232.1079,OK,299.5369,299.4548,299.5569,333.5906,32034.8914,504.8711,13126.6484,2331.3540,1358.6133,226.9368,226.8556,518.9455,60616.2180,0.0100,0.0100,35.6346,926.5111,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2284,0.4606,0.5895,0.4334
27,4.8876,30.0000,inf,1232.1088,OK,299.5364,299.4548,299.5569,333.5906,33267.0002,504.8711,13631.5195,2331.3581,1358.6174,226.9368,226.8556,518.9455,62947.5762,0.0100,0.0100,35.6347,962.1458,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2281,0.4600,0.5826,0.4335
28,4.8907,30.0000,inf,1232.1088,OK,299.5366,299.4548,299.5569,333.5906,34499.1090,504.8711,14136.3906,2331.3643,1358.6236,226.9368,226.8556,518.9455,65278.9405,0.0100,0.0100,35.6347,997.7805,,,,,True,1.0000,0.3506,7.0925,0.1599,5.6841,0.2252,0.4576,0.5883,0.4350
29,4.8875,30.0000,inf,1232.1086,OK,299.5367,299.4548,299.5569,333.5906,35731.2176,504.8711,14641.2617,2331.3702,1358.6295,226.9368,226.8556,518.9455,67610.3107,0.0100,0.0100,35.6348,1033.4153,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2270,0.4591,0.6007,0.4305
30,4.8761,30.0000,inf,1232.1081,OK,299.5358,299.4548,299.5569,333.5906,36963.3256,504.8711,15146.1328,2331.3851,1358.6443,226.9368,226.8556,518.9455,69941.6958,0.0100,0.0100,35.6349,1069.0502,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2271,0.4592,0.6014,0.4283
31,4.8906,30.0000,inf,1232.1084,OK,299.5350,299.4548,299.5569,333.5906,38195.4341,504.8711,15651.0039,2331.3928,1358.6521,226.9368,226.8556,518.9455,72273.0886,0.0100,0.0100,35.6350,1104.6852,,,,,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.2276,0.4587,0.5968,0.4297
32,4.9613,30.0000,inf,1232.1093,OK,299.5343,299.4548,299.5569,333.5906,39427.5433,504.8711,16155.8750,2331.3975,1358.6568,226.9368,226.8556,518.9455,74604.4861,0.0100,0.0100,35.6351,1140.3203,,,,,True,1.0000,0.3456,7.0875,0.1569,5.4611,0.2232,0.4540,0.5769,0.4339
