epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.27,1.82828,1.46656,1.43711,0.5673,0.44785,0.46106,0.21277,1.81927,1.51936,1.34439,0.000332852,0.000332852,0.0670476
2,715.191,1.78542,1.34416,1.40531,0.66746,0.48456,0.54153,0.27875,1.74665,1.38594,1.29629,0.00065959,0.00065959,0.034041
3,1636.94,1.74384,1.2802,1.37507,0.64714,0.48237,0.52977,0.25465,1.73512,1.57458,1.27049,0.000979729,0.000979729,0.00102783
4,1998.76,1.70918,1.25486,1.35127,0.68872,0.51339,0.54776,0.26825,1.74441,1.54402,1.28501,0.0009703,0.0009703,0.0009703
5,2384.25,1.6775,1.217,1.3288,0.68073,0.54284,0.57587,0.29278,1.72486,1.33164,1.27651,0.0009604,0.0009604,0.0009604
6,2772.71,1.65403,1.20147,1.31235,0.70562,0.56625,0.61679,0.31759,1.64407,1.33906,1.22407,0.0009505,0.0009505,0.0009505
7,3480.31,1.62867,1.15839,1.29905,0.7407,0.56254,0.63424,0.32978,1.63651,1.24494,1.22545,0.0009406,0.0009406,0.0009406
8,3863.44,1.60439,1.14098,1.28384,0.7321,0.59297,0.66146,0.3514,1.63704,1.16646,1.22867,0.0009307,0.0009307,0.0009307
9,4243.23,1.59116,1.10754,1.2779,0.75596,0.58112,0.65038,0.34968,1.62514,1.1661,1.22831,0.0009208,0.0009208,0.0009208
10,4630.55,1.57752,1.10202,1.27296,0.75701,0.57046,0.64237,0.34519,1.64289,1.1764,1.23332,0.0009109,0.0009109,0.0009109
11,4999.69,1.56771,1.09462,1.269,0.75753,0.5852,0.66267,0.35779,1.60006,1.15398,1.20763,0.000901,0.000901,0.000901
12,5370.63,1.54982,1.07148,1.25877,0.74701,0.61828,0.68451,0.37216,1.58965,1.10773,1.20452,0.0008911,0.0008911,0.0008911
13,5783.48,1.54408,1.05614,1.24916,0.73949,0.60986,0.67531,0.35879,1.61603,1.07358,1.2112,0.0008812,0.0008812,0.0008812
14,6913,1.54615,1.04693,1.25353,0.75743,0.57982,0.64989,0.35345,1.6406,1.15838,1.23574,0.0008713,0.0008713,0.0008713
15,7405.22,1.51258,1.0235,1.24223,0.74818,0.64365,0.70599,0.3848,1.57957,1.03342,1.19415,0.0008614,0.0008614,0.0008614
16,7813.6,1.51927,1.03042,1.23622,0.7549,0.63388,0.70242,0.38965,1.57043,1.04233,1.19276,0.0008515,0.0008515,0.0008515
17,8160.32,1.50554,1.01428,1.23515,0.77122,0.6398,0.70684,0.38573,1.58493,1.09607,1.20189,0.0008416,0.0008416,0.0008416
18,8528.87,1.49561,0.99127,1.2291,0.74811,0.65456,0.71569,0.39777,1.55558,1.01896,1.19414,0.0008317,0.0008317,0.0008317
