epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.948,1.9417,2.91454,1.42967,0.21437,0.12277,0.0662,0.02925,1.89383,3.84968,1.33454,0.000328571,0.000328571,0.0674714
2,167.067,1.83621,2.04622,1.3849,0.37489,0.31541,0.29031,0.13059,1.92544,2.25383,1.30493,0.000596376,0.000596376,0.0344059
3,238.099,1.78554,1.78551,1.34137,0.47161,0.37637,0.35854,0.15919,1.88716,2.03109,1.304,0.000798181,0.000798181,0.00127437
4,308.964,1.76318,1.68621,1.3209,0.47202,0.36681,0.35086,0.16327,1.81112,1.84884,1.28696,0.000703,0.000703,0.000703
5,351.579,1.72971,1.60348,1.31249,0.54312,0.37901,0.39682,0.19296,1.80156,1.7128,1.2818,0.000604,0.000604,0.000604
6,413.131,1.69907,1.50155,1.28347,0.57439,0.44156,0.44991,0.21628,1.74644,1.58345,1.2293,0.000505,0.000505,0.000505
7,466.946,1.67723,1.47096,1.26609,0.56525,0.4391,0.45864,0.22831,1.73165,1.54659,1.24254,0.000406,0.000406,0.000406
8,527.812,1.64953,1.42096,1.27128,0.62652,0.45165,0.48177,0.2393,1.7412,1.52197,1.23085,0.000307,0.000307,0.000307
9,588.438,1.62494,1.36327,1.23691,0.63033,0.48686,0.52226,0.26375,1.68506,1.4822,1.19023,0.000208,0.000208,0.000208
10,646.482,1.61685,1.34395,1.22388,0.64865,0.48593,0.53207,0.26165,1.69465,1.43599,1.18866,0.000109,0.000109,0.000109
